FilmID,Titel,ReleaseDate,FilmAwards,RegisseurID,Regisseur,RegisseurGB,RegieAwards,SchauspielerID,Schauspieler,SchauspielerGB,SchauspielAwards,Agentur,SongID,SongName,Interpret,TrackNr
tt0076723,Slap Shot,1977,1,nm0001351,George Roy Hill,1921-12-20,7,nm0000056,Paul Newman,1925-01-26,38,AgenturA,,,,
tt0076723,Slap Shot,1977,1,nm0001351,George Roy Hill,1921-12-20,7,nm0648920,Michael Ontkean,1946-01-24,0,AgenturB,,,,
tt0070735,The Sting,1973,7,nm0001351,George Roy Hill,1921-12-20,7,nm0000602,Robert Redford,1936-08-18,43,AgenturA,sting1,Solace,Scott Joplin,1
tt0070735,The Sting,1973,7,nm0001351,George Roy Hill,1921-12-20,7,nm0000602,Robert Redford,1936-08-18,43,AgenturA,sting2,The Entertainer,Scott Joplin,2
tt0070735,The Sting,1973,7,nm0001351,George Roy Hill,1921-12-20,7,nm0000602,Robert Redford,1936-08-18,43,AgenturA,sting3,The Easy Winners,Scott Joplin,3
tt0070735,The Sting,1973,7,nm0001351,George Roy Hill,1921-12-20,7,nm0000602,Robert Redford,1936-08-18,43,AgenturA,sting4,Hooker's Hooker,Marvin Hamlisch,4
tt0070735,The Sting,1973,7,nm0001351,George Roy Hill,1921-12-20,7,nm0000056,Paul Newman,1925-01-26,38,AgenturA,sting1,Solace,Scott Joplin,1
tt0070735,The Sting,1973,7,nm0001351,George Roy Hill,1921-12-20,7,nm0000056,Paul Newman,1925-01-26,38,AgenturA,sting2,The Entertainer,Scott Joplin,2
tt0070735,The Sting,1973,7,nm0001351,George Roy Hill,1921-12-20,7,nm0000056,Paul Newman,1925-01-26,38,AgenturA,sting3,The Easy Winners,Scott Joplin,3
tt0070735,The Sting,1973,7,nm0001351,George Roy Hill,1921-12-20,7,nm0000056,Paul Newman,1925-01-26,38,AgenturA,sting4,Hooker's Hooker,Marvin Hamlisch,4
tt0064115,Butch Cassidy and the Sundance Kid,1969,21,nm0001351,George Roy Hill,1921-12-20,7,nm0000056,Paul Newman,1925-01-26,38,AgenturA,butch1,The Sundance Kid,Burt Bacharach,1
tt0064115,Butch Cassidy and the Sundance Kid,1969,21,nm0001351,George Roy Hill,1921-12-20,7,nm0000056,Paul Newman,1925-01-26,38,AgenturA,butch2,Raindrops keep Falling on my Head,Burt Bacharach,2
tt0064115,Butch Cassidy and the Sundance Kid,1969,21,nm0001351,George Roy Hill,1921-12-20,7,nm0000056,Paul Newman,1925-01-26,38,AgenturA,butch3,Not Goin' Home Anaymore,Burt Bacharach,3
tt0064115,Butch Cassidy and the Sundance Kid,1969,21,nm0001351,George Roy Hill,1921-12-20,7,nm0000602,Robert Redford,1936-08-18,43,AgenturA,butch1,The Sundance Kid,Burt Bacharach,1
tt0064115,Butch Cassidy and the Sundance Kid,1969,21,nm0001351,George Roy Hill,1921-12-20,7,nm0000602,Robert Redford,1936-08-18,43,AgenturA,butch2,Raindrops keep Falling on my Head,Burt Bacharach,2
tt0064115,Butch Cassidy and the Sundance Kid,1969,21,nm0001351,George Roy Hill,1921-12-20,7,nm0000602,Robert Redford,1936-08-18,43,AgenturA,butch3,Not Goin' Home Anaymore,Burt Bacharach,3
tt0064115,Butch Cassidy and the Sundance Kid,1969,21,nm0001351,George Roy Hill,1921-12-20,7,nm0001684,Katherine Scott,1940-01-29,7,AgenturB,butch1,The Sundance Kid,Burt Bacharach,1
tt0064115,Butch Cassidy and the Sundance Kid,1969,21,nm0001351,George Roy Hill,1921-12-20,7,nm0001684,Katherine Scott,1940-01-29,7,AgenturB,butch2,Raindrops keep Falling on my Head,Burt Bacharach,2
tt0064115,Butch Cassidy and the Sundance Kid,1969,21,nm0001351,George Roy Hill,1921-12-20,7,nm0001684,Katherine Scott,1940-01-29,7,AgenturB,butch3,Not Goin' Home Anaymore,Burt Bacharach,3
