title,genre,genre_count,network,network_address,rating,episode_id,episode_number,episode_title,release_date,actor,popularity,character
Chucky,Crime,5606,USA Network,"New York City, New York",79,,,,,Brad Dourif,0.21,Chucky (voice)
Chucky,Crime,5606,USA Network,"New York City, New York",79,,,,,Zackary Arthur,0.09,Jake Wheeler
Chucky,Crime,5606,USA Network,"New York City, New York",79,,,,,Björgvin Arnarson,0.08,Devon Evans
Chucky,Crime,5606,USA Network,"New York City, New York",79,,,,,Alyvia Alyn Lind,0.29,Lexy Cross
Chucky,Crime,5606,USA Network,"New York City, New York",79,1,1,Death by Misadventure,2021-10-12,Devon Sawa,0.34,Luke Wheeler / Logan Wheeler
Chucky,Crime,5606,USA Network,"New York City, New York",79,1,1,Death by Misadventure,2021-10-12,Precious Chong,0.04,Mrs. Jolly
Chucky,Crime,5606,USA Network,"New York City, New York",79,1,1,Death by Misadventure,2021-10-12,Marcus Cornwall,0.01,Cute Boy
Chucky,Crime,5606,USA Network,"New York City, New York",79,2,2,Give Me Something Good to Eat,2021-10-19,Devon Sawa,0.34,Logan Wheeler
Chucky,Crime,5606,USA Network,"New York City, New York",79,2,2,Give Me Something Good to Eat,2021-10-19,Fiona Dourif,0.11,Nica Pierce
Chucky,Crime,5606,USA Network,"New York City, New York",79,2,2,Give Me Something Good to Eat,2021-10-19,Christine Elise,0.13,Kyle
Chucky,Crime,5606,USA Network,"New York City, New York",79,3,3,I Like to Be Hugged,2021-10-26,Avery Esteves,0.05,Oliver Hayden
Chucky,Crime,5606,USA Network,"New York City, New York",79,3,3,I Like to Be Hugged,2021-10-26,David Kohlsmith,0.05,Young Charles Lee Ray
Chucky,Crime,5606,USA Network,"New York City, New York",79,3,3,I Like to Be Hugged,2021-10-26,Marisa McIntyre,0.01,Elizabeth Ray
Chucky,Crime,5606,USA Network,"New York City, New York",79,4,4,Just Let Go,2021-11-02,Devon Sawa,0.34,Logan Wheeler
Chucky,Crime,5606,USA Network,"New York City, New York",79,4,4,Just Let Go,2021-11-02,Tyler Barish,0.01,Teenage Charles Lee Ray
Chucky,Crime,5606,USA Network,"New York City, New York",79,4,4,Just Let Go,2021-11-02,Ivano DiCaro,0.01,Tootles
Chucky,Crime,5606,USA Network,"New York City, New York",79,5,5,Little Little Lies,2021-11-09,Fiona Dourif,0.11,Nica
Chucky,Crime,5606,USA Network,"New York City, New York",79,5,5,Little Little Lies,2021-11-09,Lexa Doig,0.12,Bree Wheeler
Chucky,Crime,5606,USA Network,"New York City, New York",79,5,5,Little Little Lies,2021-11-09,Jana Peck,0.02,Principal McVey
Chucky,Crime,5606,USA Network,"New York City, New York",79,6,6,Cape Queer,2021-11-16,Devon Sawa,0.34,Logan Wheeler
Chucky,Crime,5606,USA Network,"New York City, New York",79,6,6,Cape Queer,2021-11-16,Christine Elise,0.13,Kyle
Chucky,Crime,5606,USA Network,"New York City, New York",79,6,6,Cape Queer,2021-11-16,Lexa Doig,0.12,Bree Wheeler
Chucky,Crime,5606,USA Network,"New York City, New York",79,7,7,"Twice the Grieving, Double the Loss",2021-11-23,Devon Sawa,0.34,Logan Wheeler
Chucky,Crime,5606,USA Network,"New York City, New York",79,7,7,"Twice the Grieving, Double the Loss",2021-11-23,Christine Elise,0.13,Kyle
Chucky,Crime,5606,USA Network,"New York City, New York",79,7,7,"Twice the Grieving, Double the Loss",2021-11-23,Jennifer Tilly,0.24,Tiffany Valentine
Chucky,Crime,5606,USA Network,"New York City, New York",79,8,8,An Affair to Dismember,2021-11-30,Fiona Dourif,0.11,Nica Pierce
Chucky,Crime,5606,USA Network,"New York City, New York",79,8,8,An Affair to Dismember,2021-11-30,Christine Elise,0.13,Kyle
Chucky,Crime,5606,USA Network,"New York City, New York",79,8,8,An Affair to Dismember,2021-11-30,Barbara Alyn Woods,0.08,Mayor Michelle Cross
Chucky,Crime,5606,USA Network,"New York City, New York",79,9,9,Halloween II,2022-10-05,Rosemary Dunsmore,0.12,Dr. Mixter
Chucky,Crime,5606,USA Network,"New York City, New York",79,9,9,Halloween II,2022-10-05,Jennifer Tilly,0.24,Tiffany Valentine
Chucky,Crime,5606,USA Network,"New York City, New York",79,9,9,Halloween II,2022-10-05,Kabir Bageria,0.01,James
Chucky,Crime,5606,USA Network,"New York City, New York",79,10,10,The Sinners Are Much More Fun,2022-10-12,Fiona Dourif,0.11,Nica Pierce
Chucky,Crime,5606,USA Network,"New York City, New York",79,10,10,The Sinners Are Much More Fun,2022-10-12,Jennifer Tilly,0.24,Tiffany Valentine
Chucky,Crime,5606,USA Network,"New York City, New York",79,10,10,The Sinners Are Much More Fun,2022-10-12,Lara Jean Chorostecki,0.05,Sister Ruth
Chucky,Crime,5606,USA Network,"New York City, New York",79,11,11,"Hail, Mary!",2022-10-19,Lara Jean Chorostecki,0.05,Sister Ruth
Chucky,Crime,5606,USA Network,"New York City, New York",79,11,11,"Hail, Mary!",2022-10-19,Bella Higginbotham,0.06,Nadine
Chucky,Crime,5606,USA Network,"New York City, New York",79,11,11,"Hail, Mary!",2022-10-19,Andrea Carter,0.01,Sister Catherine
Chucky,Crime,5606,USA Network,"New York City, New York",79,12,12,Death on Denial,2022-10-26,Fiona Dourif,0.11,Nica Pierce
Chucky,Crime,5606,USA Network,"New York City, New York",79,12,12,Death on Denial,2022-10-26,Christine Elise,0.13,Kyle
Chucky,Crime,5606,USA Network,"New York City, New York",79,12,12,Death on Denial,2022-10-26,Jennifer Tilly,0.24,Tiffany Valentine
Chucky,Crime,5606,USA Network,"New York City, New York",79,13,13,Doll on Doll,2022-11-01,Rosemary Dunsmore,0.12,Dr. Mixter
Chucky,Crime,5606,USA Network,"New York City, New York",79,13,13,Doll on Doll,2022-11-01,Lara Jean Chorostecki,0.05,Sister Ruth
Chucky,Crime,5606,USA Network,"New York City, New York",79,13,13,Doll on Doll,2022-11-01,Bella Higginbotham,0.06,Nadine
Chucky,Crime,5606,USA Network,"New York City, New York",79,14,14,He Is Risen Indeed,2022-11-09,Fiona Dourif,0.11,Nica Pierce
