Titel,Jahr,Ort,Schwerpunkt,VeranstalterInstitut,VerstanstalterStandort,Sponsor,SponsorStandort,SponsorBetrag,VortragThema,VortragTeam,VortragTeamleiter,VortragInstitut,VortragStandort
Klimadynamik und Extremwetter,2024,Berlin,Klimamodelle und Extremwetterereignisse,Institut für Klimaforschung,"Potsdam, Deutschland",Green Energy Partners,Dänemark,60000,Analyse von Tropenstürmen im 21. Jahrhundert,Klimadynamik,Dr. Anna Müller,Institut für Klimaforschung,"Potsdam, Deutschland"
Klimadynamik und Extremwetter,2024,Berlin,Klimamodelle und Extremwetterereignisse,Institut für Klimaforschung,"Potsdam, Deutschland",Green Energy Partners,Dänemark,60000,Effekte von globaler Erwärmung auf Monsunzyklen,Atmosphärische Modellierung,Prof. Dr. Michael Schmidt,Institut für Klimaforschung,"Potsdam, Deutschland"
Klimadynamik und Extremwetter,2024,Berlin,Klimamodelle und Extremwetterereignisse,Institut für Klimaforschung,"Potsdam, Deutschland",Green Energy Partners,Dänemark,60000,Langfristige Wettervorhersagen und Klimamodelle,Klimadatenanalyse,Dr. Julia Wagner,Institut für Klimaforschung,"Potsdam, Deutschland"
Klimadynamik und Extremwetter,2024,Berlin,Klimamodelle und Extremwetterereignisse,Institut für Klimaforschung,"Potsdam, Deutschland",Green Energy Partners,Dänemark,60000,Vorhersage von Dürren in Südafrika,Klimadynamik,Dr. Anna Müller,Institut für Klimaforschung,"Potsdam, Deutschland"
Klimadynamik und Extremwetter,2024,Berlin,Klimamodelle und Extremwetterereignisse,Institut für Klimaforschung,"Potsdam, Deutschland",Green Energy Partners,Dänemark,60000,Simulation von Tornadoentstehung in den USA,Atmosphärische Modellierung,Prof. Dr. Michael Schmidt,Institut für Klimaforschung,"Potsdam, Deutschland"
Innovationen in der Genomforschung,2025,Heidelberg,Genomik und personalisierte Medizin,Zentrum für Biomedizinische Innovation,"Heidelberg, Deutschland",Social Innovation Fund,Niederlande,50000,Neue Ansätze in der Stammzellforschung,Biotechnologie,Dr. Thomas Becker,Zentrum für Biomedizinische Innovation,"Heidelberg, Deutschland"
Innovationen in der Genomforschung,2025,Heidelberg,Genomik und personalisierte Medizin,Zentrum für Biomedizinische Innovation,"Heidelberg, Deutschland",Social Innovation Fund,Niederlande,50000,Präzisionsmedizin auf Basis von Genomdaten,Genomforschung,Dr. Lisa Hoffmann,Zentrum für Biomedizinische Innovation,"Heidelberg, Deutschland"
Innovationen in der Genomforschung,2025,Heidelberg,Genomik und personalisierte Medizin,Zentrum für Biomedizinische Innovation,"Heidelberg, Deutschland",Social Innovation Fund,Niederlande,50000,Genombasierte Ansätze für Krebstherapien,Zelltherapie,Prof. Dr. Peter Krause,Zentrum für Biomedizinische Innovation,"Heidelberg, Deutschland"
Innovationen in der Genomforschung,2025,Heidelberg,Genomik und personalisierte Medizin,Zentrum für Biomedizinische Innovation,"Heidelberg, Deutschland",Social Innovation Fund,Niederlande,50000,Therapeutische Klonierung von menschlichen Zellen,Zelltherapie,Prof. Dr. Peter Krause,Zentrum für Biomedizinische Innovation,"Heidelberg, Deutschland"
Innovationen in der Genomforschung,2025,Heidelberg,Genomik und personalisierte Medizin,Zentrum für Biomedizinische Innovation,"Heidelberg, Deutschland",Social Innovation Fund,Niederlande,50000,Biotechnologische Anwendungen zur Heilung von Erbkrankheiten,Biotechnologie,Dr. Thomas Becker,Zentrum für Biomedizinische Innovation,"Heidelberg, Deutschland"
Zukunft der Meeresökosysteme,2024,Kiel,Küstenschutz und Biodiversität,Institut für Meeresökologie und Fischereiwissenschaften,"Kiel, Deutschland",Global Health Foundation,USA,100000,Sustainable Coastal Management in the Arctic,Küstenschutz und Erosionsforschung,Prof. Dr. Andreas Neumann,Institut für Meeresökologie und Fischereiwissenschaften,"Kiel, Deutschland"
Zukunft der Meeresökosysteme,2024,Kiel,Küstenschutz und Biodiversität,Institut für Meeresökologie und Fischereiwissenschaften,"Kiel, Deutschland",Global Health Foundation,USA,100000,Verlust der Biodiversität in der Tiefsee,Marine Biodiversität,Dr. Katharina Schulz,Institut für Meeresökologie und Fischereiwissenschaften,"Kiel, Deutschland"
Zukunft der Meeresökosysteme,2024,Kiel,Küstenschutz und Biodiversität,Institut für Meeresökologie und Fischereiwissenschaften,"Kiel, Deutschland",Global Health Foundation,USA,100000,Die Rolle der Algen im Kohlenstoffkreislauf,Aquatische Ökosysteme,Dr. Stefan Lehmann,Institut für Meeresökologie und Fischereiwissenschaften,"Kiel, Deutschland"
Zukunft der Meeresökosysteme,2024,Kiel,Küstenschutz und Biodiversität,Institut für Meeresökologie und Fischereiwissenschaften,"Kiel, Deutschland",Global Health Foundation,USA,100000,Neue Technologien im Kampf gegen Küstenerosion,Küstenschutz und Erosionsforschung,Prof. Dr. Andreas Neumann,Institut für Meeresökologie und Fischereiwissenschaften,"Kiel, Deutschland"
Zukunft der Meeresökosysteme,2024,Kiel,Küstenschutz und Biodiversität,Institut für Meeresökologie und Fischereiwissenschaften,"Kiel, Deutschland",Global Health Foundation,USA,100000,Coral Bleaching und die Auswirkungen auf die Meeresfauna,Marine Biodiversität,Dr. Katharina Schulz,Institut für Meeresökologie und Fischereiwissenschaften,"Kiel, Deutschland"
Quantentechnologie der Zukunft,2024,Zürich,Quantensysteme und Nanophysik,Zentrum für Quantentechnologie und Nanophysik,"Zürich, Schweiz",Social Innovation Fund,Niederlande,12000,Neue Entwicklungen in der Quantenkommunikation,Quantencomputing,Dr. Lara Meier,Zentrum für Quantentechnologie und Nanophysik,"Zürich, Schweiz"
Quantentechnologie der Zukunft,2024,Zürich,Quantensysteme und Nanophysik,Zentrum für Quantentechnologie und Nanophysik,"Zürich, Schweiz",Social Innovation Fund,Niederlande,12000,Graphen-basierte Materialien für Quantencomputer,Nanomaterialien,Prof. Dr. Daniel Weber,Zentrum für Quantentechnologie und Nanophysik,"Zürich, Schweiz"
Quantentechnologie der Zukunft,2024,Zürich,Quantensysteme und Nanophysik,Zentrum für Quantentechnologie und Nanophysik,"Zürich, Schweiz",Social Innovation Fund,Niederlande,12000,Entwicklung von Quantenalgorithmen für Big Data,Quantensimulation,Dr. Felix Keller,Zentrum für Quantentechnologie und Nanophysik,"Zürich, Schweiz"
Quantentechnologie der Zukunft,2024,Zürich,Quantensysteme und Nanophysik,Zentrum für Quantentechnologie und Nanophysik,"Zürich, Schweiz",Social Innovation Fund,Niederlande,12000,Nanomaterialien für die Quantenbildgebung,Nanomaterialien,Prof. Dr. Daniel Weber,Zentrum für Quantentechnologie und Nanophysik,"Zürich, Schweiz"
Quantentechnologie der Zukunft,2024,Zürich,Quantensysteme und Nanophysik,Zentrum für Quantentechnologie und Nanophysik,"Zürich, Schweiz",Social Innovation Fund,Niederlande,12000,Der Einsatz von Quantencomputern in der Pharmaforschung,Quantencomputing,Dr. Lara Meier,Zentrum für Quantentechnologie und Nanophysik,"Zürich, Schweiz"
Nachhaltige Energie für Europa,2025,Kopenhagen,Erneuerbare Energien und politische Maßnahmen,Europäisches Institut für Klimawandel und Energie,"Kopenhagen, Dänemark",Green Energy Partners,Dänemark,75000,Optimierung von Energiespeichern für erneuerbare Energie,Energieeffizienz,Prof. Dr. Monika Braun,Europäisches Institut für Klimawandel und Energie,"Kopenhagen, Dänemark"
Nachhaltige Energie für Europa,2025,Kopenhagen,Erneuerbare Energien und politische Maßnahmen,Europäisches Institut für Klimawandel und Energie,"Kopenhagen, Dänemark",Green Energy Partners,Dänemark,75000,Hydrogentechnologien als Schlüssel für den Klimaschutz,Erneuerbare Energien,Dr. Tobias Fischer,Europäisches Institut für Klimawandel und Energie,"Kopenhagen, Dänemark"
Nachhaltige Energie für Europa,2025,Kopenhagen,Erneuerbare Energien und politische Maßnahmen,Europäisches Institut für Klimawandel und Energie,"Kopenhagen, Dänemark",Green Energy Partners,Dänemark,75000,Politik zur Förderung von grüner Wasserstoffproduktion,Klimapolitik und Gesellschaft,Dr. Laura Lehmann,Europäisches Institut für Klimawandel und Energie,"Kopenhagen, Dänemark"
Nachhaltige Energie für Europa,2025,Kopenhagen,Erneuerbare Energien und politische Maßnahmen,Europäisches Institut für Klimawandel und Energie,"Kopenhagen, Dänemark",Green Energy Partners,Dänemark,75000,Effizienzsteigerung von Solarmodulen,Energieeffizienz,Prof. Dr. Monika Braun,Europäisches Institut für Klimawandel und Energie,"Kopenhagen, Dänemark"
